39,Queen of Cups,"Good, fair woman; honest, devoted woman, who will do service to the Querent; loving intelligence, and hence the gift of vision; success, happiness, pleasure; also wisdom, virtue; a perfect spouse and a good mother.","The accounts vary; good woman; otherwise, distinguished woman but one not to be trusted; perverse woman; vice, dishonour, depravity.",0
40,King of Cups,"Fair man, man of business, law, or divinity; responsible, disposed to oblige the Querent; also equity, art and science, including those who profess science, law and art; creative intelligence.","Dishonest, double-dealing man; roguery, exaction, injustice, vice, scandal, pillage, considerable loss.",0
41,Ace of Cups,"House of the true heart, joy, content, abode, nourishment, abundance, fertility; Holy Table, felicity hereof.","House of the false heart, mutation, instability, revolution.",0
42,Two of Cups,"Love, passion, friendship, affinity, union, concord, sympathy, the interrelation of the sexes, and--as a suggestion apart from all offices of divination--that desire which is not in Nature, but by which Nature is sanctified.","Self-love, break-ups, disharmony, distrust.",0
43,Three of Cups,"The conclusion of any matter in plenty, perfection and merriment; happy issue, victory, fulfilment, solace, healing,","Expedition, dispatch, achievement, end. It signifies also the side of excess in physical enjoyment, and the pleasures of the senses.",0
44,Four of Cups,"Weariness, disgust, aversion, imaginary vexations, as if the wine of this world had caused satiety only; another wine, as if a fairy gift, is now offered the wastrel, but he sees no consolation therein. This is also a card of blended pleasure.","Novelty, presage, new instruction, new relations.",0
45,Five of Cups,"ure, looking sideways at three prone cups two others stand upright behind him; a bridge is in the background, leading to a small keep or holding. Divanatory Meanings: It is a card of loss, but something remains over; three have been taken, but two are left; it is a card of inheritance, patrimony, transmission, but not corresponding to expectations; with some interpreters it is a card of marriage, but not without bitterness or frustration.","News, alliances, affinity, consanguinity, ancestry, return, false projects.",0
46,Six of Cups,"A card of the past and of memories, looking back, as--for example--on childhood; happiness, enjoyment, but coming rather from the past; things that have vanished. Another reading reverses this, giving new relations, new knowledge, new environment, and then the children are disporting in an unfamiliar precinct.","The future, renewal, that which will come to pass presently.",0
47,Seven of Cups,"Fairy favours, images of reflection, sentiment, imagination, things seen in the glass of contemplation; some attainment in these degrees, but nothing permanent or substantial is suggested.","Desire, will, determination, project.",0
48,Eight of Cups,"The card speaks for itself on the surface, but other readings are entirely antithetical--giving joy, mildness, timidity, honour, modesty. In practice, it is usually found that the card shews the decline of a matter, or that a matter which has been thought to be important is really of slight consequence--either for good or evil.","Great joy, happiness, feasting.",0
49,Nine of Cups,"Concord, contentment, physical bien-être; also victory, success, advantage; satisfaction for the Querent or person for whom the consultation is made.","Truth, loyalty, liberty; but the readings vary and include mistakes, imperfections, etc.",0
50,Ten of Cups,"Contentment, repose of the entire heart; the perfection of that state; also perfection of human love and friendship; if with several picture-cards, a person who is taking charge of the Querent's interests; also the town, village or country inhabited by the Querent.","Repose of the false heart, indignation, violence.",0
51,Page of Pentacles,"Application, study, scholarship, reflection another reading says news, messages and the bringer thereof; also rule, management.","Prodigality, dissipation, liberality, luxury; unfavourable news.",0
52,Knight of Pentacles,"Utility, serviceableness, interest, responsibility, rectitude-all on the normal and external plane.","inertia, idleness, repose of that kind, stagnation; also placidity, discouragement, carelessness.",0
53,Queen of Pentacles,"Opulence, generosity, magnificence, security, liberty.","Evil, suspicion, suspense, fear, mistrust.",0
54,King of Pentacles,"Valour, realizing intelligence, business and normal intellectual aptitude, sometimes mathematical gifts and attainments of this kind; success in these paths.","Vice, weakness, ugliness, perversity, corruption, peril.",0
55,Ace of Pentacles,"Perfect contentment, felicity, ecstasy; also speedy intelligence; gold.","The evil side of wealth, bad intelligence; also great riches. In any case it shews prosperity, comfortable material conditions, but whether these are of advantage to the possessor will depend on whether the card is reversed or not.",0
56,Two of Pentacles,"On the one hand it is represented as a card of gaiety, recreation and its connexions, which is the subject of the design; but it is read also as news and messages in writing, as obstacles, agitation, trouble, embroilment.","Enforced gaiety, simulated enjoyment, literal sense, handwriting, composition, letters of exchange.",0
57,Three of Pentacles,"Métier, trade, skilled labour; usually, however, regarded as a card of nobility, aristocracy, renown, glory.","Mediocrity, in work and otherwise, puerility, pettiness, weakness.",0
58,Four of Pentacles,"The surety of possessions, cleaving to that which one has, gift, legacy, inheritance.","Suspense, delay, opposition.",0
59,Five of Pentacles,"The card foretells material trouble above all, whether in the form illustrated--that is, destitution--or otherwise. For some cartomancists, it is a card of love and lovers-wife, husband, friend, mistress; also concordance, affinities. These alternatives cannot be harmonized.","Disorder, chaos, ruin, discord, profligacy.",0
60,Six of Pentacles,"Presents, gifts, gratification another account says attention, vigilance now is the accepted time, present prosperity, etc.","Desire, cupidity, envy, jealousy, illusion.",0
61,Seven of Pentacles,"These are exceedingly contradictory; in the main, it is a card of money, business, barter; but one reading gives altercation, quarrels--and another innocence, ingenuity, purgation.",Cause for anxiety regarding money which it may be proposed to lend.,0
62,Eight of Pentacles,"Work, employment, commission, craftsmanship, skill in craft and business, perhaps in the preparatory stage.","Voided ambition, vanity, cupidity, exaction, usury. It may also signify the possession of skill, in the sense of the ingenious mind turned to cunning and intrigue.",0
63,Nine of Pentacles,"Prudence, safety, success, accomplishment, certitude, discernment.","Roguery, deception, voided project, bad faith.",0
64,Ten of Pentacles,"Gain, riches; family matters, archives, extraction, the abode of a family.","Chance, fatality, loss, robbery, games of hazard; sometimes gift, dowry, pension.",0
65,Page of Swords,"Authority, overseeing, secret service, vigilance, spying, examination, and the qualities thereto belonging.","More evil side of these qualities; what is unforeseen, unprepared state; sickness is also intimated.",0
66,Knight of Swords,"Skill, bravery, capacity, defence, address, enmity, wrath, war, destruction, opposition, resistance, ruin. There is therefore a sense in which the card signifies death, but it carries this meaning only in its proximity to other cards of fatality.","Imprudence, incapacity, extravagance.",0
67,Queen of Swords,"Widowhood, female sadness and embarrassment, absence, sterility, mourning, privation, separation.","Malice, bigotry, artifice, prudery, bale, deceit.",0
68,King of Swords,"Whatsoever arises out of the idea of judgment and all its connexions-power, command, authority, militant intelligence, law, offices of the crown, and so forth.","Cruelty, perversity, barbarity, perfidy, evil intention.",0
69,Ace of Swords,"Triumph, the excessive degree in everything, conquest, triumph of force. It is a card of great force, in love as well as in hatred. The crown may carry a much higher significance than comes usually within the sphere of fortune-telling.","The same, but the results are disastrous; another account says--conception, childbirth, augmentation, multiplicity.",0
70,Two of Swords,"Conformity and the equipoise which it suggests, courage, friendship, concord in a state of arms; another reading gives tenderness, affection, intimacy. The suggestion of harmony and other favourable readings must be considered in a qualified manner, as Swords generally are not symbolical of beneficent forces in human affairs.","Imposture, falsehood, duplicity, disloyalty.",0
71,Three of Swords,"Removal, absence, delay, division, rupture, dispersion, and all that the design signifies naturally, being too simple and obvious to call for specific enumeration.","Mental alienation, error, loss, distraction, disorder, confusion.",0
72,Four of Swords,"Vigilance, retreat, solitude, hermit's repose, exile, tomb and coffin. It is these last that have suggested the design.","Wise administration, circumspection, economy, avarice, precaution, testament.",0
73,Five of Swords,"Degradation, destruction, revocation, infamy, dishonour, loss, with the variants and analogues of these.",The same; burial and obsequies.,0
74,Six of Swords,"journey by water, route, way, envoy, commissionary, expedient.","Declaration, confession, publicity; one account says that it is a proposal of love.",0
75,Seven of Swords,"Design, attempt, wish, hope, confidence; also quarrelling, a plan that may fail, annoyance. The design is uncertain in its import, because the significations are widely at variance with each other.","Good advice, counsel, instruction, slander, babbling.",0
76,Eight of Swords,"Bad news, violent chagrin, crisis, censure, power in trammels, conflict, calumny; also sickness.","Disquiet, difficulty, opposition, accident, treachery; what is unforeseen; fatality.",0
77,Nine of Swords,"Death, failure, miscarriage, delay, deception, disappointment, despair.","Imprisonment, suspicion, doubt, reasonable fear, shame.",0
78,Ten of Swords,"Whatsoever is intimated by the design; also pain, affliction, tears, sadness, desolation. It is not especially a card of violent death.","Advantage, profit, success, favour, but none of these are permanent; also power and authority.",0
